t,y_min,y_max
01:10:02:12,0.61,0.61
5,0.053,0.61
,-0.041,0.056
,-0.039,0.01
,-0.056,-0.007
,-0.012,0.039
,-0.007,0.048
,0.003,0.454
14,0.353,0.61
5,-0.339,0.334
,-0.243,0.138
,-0.007,0.161
,-0.01,0.029
,-0.008,0.096
,-0.029,0.091
,-0.067,0.005
,-0.165,0.085
,-0.426,0.195
,-0.447,0.123
,-0.236,0.112
,-0.115,0.098
,-0.218,0.215
,-0.216,0.268
,-0.209,0.122
,-0.13,0.21
,-0.128,0.16
,-0.058,0.192
,-0.062,0.126
,-0.11,0.061
,-0.131,0.129
,-0.327,0.156
,-0.141,0.222
,-0.067,0.217
,-0.015,0.206
,0.008,0.182
,-0.099,0.115
,-0.071,0.175
,-0.073,0.051
,-0.143,0.189
,-0.074,0.139
,-0.028,0.113
,-0.059,0.101
,-0.161,0.304
,-0.176,0.363
,-0.173,0.234
,-0.144,0.104
,-0.424,0.493
,-0.426,0.351
,-0.245,0.283
,-0.137,0.437
,-0.16,0.156
,-0.13,0.115
,-0.125,0.223
,-0.143,0.086
,-0.093,0.446
,-0.202,0.339
,-0.206,0.306
,-0.176,0.263
,-0.285,0.306
,-0.184,0.149
,-0.142,0.31
,-0.201,0.141
,-0.118,0.275
,-0.103,0.146
,-0.157,0.103
,-0.054,0.08
,-0.134,0.265
,-0.078,0.266
,-0.119,0.162
,-0.171,0.104
,-0.146,0.313
,-0.16,0.245
,-0.044,0.494
,-0.136,0.089
,-0.154,0.198
,-0.216,0.247
,-0.216,0.184
,-0.053,0.295
,-0.221,0.239
,-0.203,0.351
,-0.132,0.146
,-0.172,0.091
,-0.137,0.454
,-0.211,0.213
,-0.157,0.377
,-0.234,0.363
