t,y_min,y_max
01:10:02:12,3.142,3.644
5,2.707,3.267
,2.016,2.732
,1.269,2.086
,0.593,1.237
,0.5,0.642
,0.5,0.562
,0.5,0.634
14,0.5,0.607
5,0.5,0.528
,0.5,0.515
,0.5,0.547
,0.5,0.514
,0.5,0.549
,0.5,0.525
,0.5,0.522
,0.5,0.547
,0.5,0.537
,0.5,0.559
,0.5,0.53
,0.5,0.531
,0.5,0.53
,0.5,0.569
,0.5,0.568
,0.5,0.552
,0.5,0.532
,0.5,0.54
,0.5,0.56
,0.5,0.514
,0.5,0.606
,0.5,0.516
,0.5,0.619
,0.5,0.693
,0.5,0.535
,0.5,0.536
,0.5,0.529
,0.5,0.596
,0.5,0.636
,0.5,0.573
,0.5,0.562
,0.5,0.555
,0.5,0.58
,0.5,0.564
,0.5,0.681
,0.5,0.529
,0.5,0.606
,0.5,0.778
,0.5,0.578
,0.5,0.58
,0.5,0.642
,0.5,0.59
,0.5,0.772
,0.5,0.68
,0.5,0.685
,0.5,0.74
,0.5,0.815
,0.5,1.204
,0.5,0.774
,0.5,0.738
,0.5,0.757
,0.5,1.108
,0.5,0.824
,0.5,0.718
,0.5,0.75
,0.5,0.956
,0.5,0.81
,0.5,0.759
,0.5,1.039
,0.5,0.835
,0.5,0.943
,0.5,0.958
,0.5,0.876
,0.5,1.17
,0.5,1.106
,0.5,0.647
,0.5,0.675
,0.5,0.709
,0.5,0.614
,0.5,0.566
,0.5,0.56
,0.5,0.733
,0.5,0.558
,0.5,0.754
,0.5,0.695
,0.5,0.771
,0.5,0.726
