t,y_gps,y_autopilot
01:10:02:30,1.8,1.7
01:10:02:46,3.3,2.3
01:10:03:05,2.7,2.0
01:10:03:23,2.8,2.1
01:10:03:39,3.0,2.2
01:10:03:56,3.0,2.2
01:10:04:13,2.9,2.2
01:10:04:30,2.9,2.2
01:10:04:47,3.0,2.2
01:10:05:05,2.9,2.2
01:10:05:21,3.0,2.3
01:10:05:37,3.2,2.3
01:10:05:54,3.1,2.3
01:10:06:11,3.0,2.2
01:10:06:27,3.1,2.2
01:10:06:44,3.0,2.3
01:10:07:00,3.1,2.3
01:10:07:15,3.2,2.4
01:10:07:31,3.2,2.3
01:10:07:47,3.2,2.3
01:10:08:02,3.3,2.3
01:10:08:18,3.3,2.4
01:10:08:34,3.3,2.3
01:10:08:50,3.2,2.3
01:10:09:06,3.2,2.3
01:10:09:22,3.2,2.3
