t,y_min,y_max
01:10:02:12,-2.68,5.89
5,-0.55,6.39
,-0.93,1.08
,-1.62,0.28
,-1.39,-0.13
,-1.72,0.36
,-1.24,1.24
,-1.56,0.77
14,-1.13,7.58
5,-5.06,6.66
,-4.1,1.65
,-0.64,2.32
,-1.46,1.07
,-0.62,1.0
,-1.03,1.15
,-1.58,0.92
,-3.2,0.79
,-2.65,3.74
,-6.68,2.93
,-3.5,2.32
,-2.34,1.25
,-4.57,3.64
,-2.11,4.04
,-4.8,2.69
,-2.3,3.82
,-3.75,3.89
,-1.92,3.32
,-2.87,4.97
,-3.85,2.47
,-4.23,3.9
,-5.84,4.11
,-5.42,5.53
,-2.95,4.85
,-2.87,4.29
,-2.86,5.04
,-2.63,5.9
,-3.88,2.74
,-1.94,2.59
,-5.13,4.53
,-3.58,2.58
,-4.04,3.46
,-4.07,5.08
,-3.17,4.18
,-1.83,3.94
,-4.29,4.74
,-4.29,2.89
,-4.96,8.59
,-7.81,6.67
,-4.66,4.86
,-6.56,5.71
,-4.27,3.12
,-2.71,3.19
,-4.29,4.83
,-5.26,3.57
,-7.3,9.11
,-5.19,6.76
,-7.36,6.76
,-5.16,6.48
,-4.55,6.19
,-3.57,6.42
,-3.78,6.7
,-6.42,7.22
,-5.97,6.05
,-3.98,5.05
,-4.59,5.65
,-3.86,3.99
,-3.64,2.57
,-2.61,5.83
,-3.41,4.98
,-5.31,3.14
,-6.26,4.7
,-6.6,6.93
,-3.63,8.71
,-2.5,2.34
,-2.61,4.16
,-5.53,4.87
,-6.13,5.26
,-2.91,4.68
,-4.73,7.84
,-6.6,7.0
,-5.22,3.99
,-5.19,3.94
,-4.1,9.38
,-6.54,4.46
,-5.2,5.47
,-8.61,9.04
