t,y
01:10:01:57,0
01:10:03:51,0
01:10:03:52,1
01:10:05:23,1
01:10:05:24,2
01:10:05:43,2
01:10:05:44,1
01:10:05:55,1
01:10:05:56,2
01:10:06:01,2
01:10:06:02,1
01:10:06:08,1
01:10:06:09,2
01:10:06:12,2
01:10:06:13,1
01:10:06:18,1
01:10:06:19,2
01:10:06:31,2
01:10:06:32,1
01:10:06:37,1
01:10:06:38,2
01:10:07:05,2
01:10:07:06,1
01:10:07:11,1
01:10:07:12,2
01:10:07:17,2
01:10:07:18,1
01:10:07:22,1
01:10:07:24,2
01:10:07:28,2
01:10:07:29,1
01:10:07:33,1
01:10:07:34,2
01:10:08:56,2
01:10:08:57,1
01:10:09:57,1
01:10:09:58,2
01:10:10:00,2
