t,y
01:10:01:57,3
01:10:02:03,3
01:10:02:05,2
01:10:02:32,2
01:10:02:34,5
01:10:02:36,5
01:10:02:38,4
01:10:02:54,4
01:10:02:55,5
01:10:02:57,5
01:10:02:59,2
01:10:03:33,2
01:10:03:33,0
01:10:03:54,0
01:10:03:55,1
01:10:03:59,1
01:10:04:01,2
01:10:04:01,2
01:10:04:03,3
01:10:04:22,3
01:10:04:24,1
01:10:04:26,1
01:10:04:28,2
01:10:04:47,2
01:10:04:49,5
01:10:04:51,5
01:10:04:53,3
01:10:04:53,3
01:10:04:55,4
01:10:04:57,4
01:10:04:59,3
01:10:05:28,3
01:10:05:29,5
01:10:05:31,5
01:10:05:33,3
01:10:05:37,3
01:10:05:39,2
01:10:05:41,2
01:10:05:43,3
01:10:06:06,3
01:10:06:08,4
01:10:06:10,4
01:10:06:12,2
01:10:06:20,2
01:10:06:22,3
01:10:06:43,3
01:10:06:44,0
01:10:07:05,0
01:10:07:06,1
01:10:07:08,1
01:10:07:10,0
01:10:07:12,0
01:10:07:14,1
01:10:07:45,1
01:10:07:47,0
01:10:08:14,0
01:10:08:15,4
01:10:08:17,4
01:10:08:19,3
01:10:08:23,3
01:10:08:25,2
01:10:08:56,2
01:10:08:57,0
01:10:09:21,0
01:10:09:23,4
01:10:09:25,4
01:10:09:27,1
01:10:09:43,1
