t,y_min,y_max
01:10:01:57,-0.7,0.4
10,-0.9,1.0
,-1.1,0.6
,-1.6,0.6
,-1.2,0.8
,-1.2,0.8
,-1.2,1.0
,-1.2,1.2
,-1.2,1.2
,-0.9,0.8
,-1.2,0.6
,-0.9,0.8
,-1.8,0.9
,-1.2,1.5
,-1.5,1.0
,-1.0,0.8
,-1.8,1.2
,-2.2,1.8
,-2.7,2.2
,-1.7,1.7
,-1.8,1.2
,-2.1,2.2
,-1.8,1.7
,-2.0,1.6
,-2.3,1.6
,-2.6,1.9
,-1.5,1.0
,-1.6,1.1
,-2.2,1.7
,-2.6,3.4
,-3.5,2.5
,-2.3,2.1
,-1.1,1.8
,-1.7,1.6
,-1.7,1.7
,-2.0,1.8
,-1.9,2.3
,-2.6,2.1
,-2.6,2.9
,-2.1,1.4
,-2.2,1.7
,-1.8,2.0
,-1.7,2.5
,-1.4,1.7
,-3.8,3.9
,-3.8,4.0
,-1.7,1.6
,-2.1,1.5
