t,y_min,y_max
01:10:01:57,1.4,4.5
10,1.8,4.6
,-0.2,2.0
,-0.2,1.7
,-0.3,2.7
,-0.1,4.7
,-1.1,3.9
,-1.7,2.3
,-0.5,0.7
,0.1,2.6
,0.4,4.9
,-0.5,4.6
,-0.5,2.9
,-0.3,3.6
,0.7,3.5
,-0.5,8.5
,-1.1,4.1
,0.6,7.1
,0.5,8.8
,0.9,4.9
,-0.3,4.7
,0.6,7.7
,1.7,7.7
,-2.4,8.6
,-2.9,6.5
,-1.4,3.9
,-0.0,4.9
,0.5,8.8
,-1.2,6.9
,-1.7,10.1
,-1.8,7.0
,-2.6,11.8
,-2.9,5.6
,-1.9,4.9
,-1.5,5.6
,-1.5,5.0
,-1.0,3.3
,-0.5,8.5
,-2.6,6.6
,-2.5,7.4
,-2.4,8.2
,-2.2,4.6
,-0.9,7.4
,-1.9,8.1
,-3.0,9.4
,-4.1,10.2
,-0.8,10.2
,1.7,10.2
