t,y_min,y_max
01:10:01:57,0.0,0.02
10,0.0,0.02
,0.0,0.0
,0.0,0.0
,0.0,0.0
,0.0,0.0
,0.0,0.0
,0.0,0.0
,0.0,0.0
,0.0,0.0
11,0.0,0.0
10,0.0,0.02
,0.02,0.02
11,0.02,0.02
10,0.02,0.02
,0.02,0.02
11,0.02,0.02
10,0.02,0.02
11,0.02,0.02
10,0.02,0.02
11,0.02,0.02
,0.02,0.02
10,0.02,0.02
11,0.02,0.02
10,0.02,0.02
11,0.02,0.02
,0.02,0.02
10,0.02,0.02
11,0.02,0.02
10,0.02,0.02
,0.02,0.02
11,0.02,0.02
,0.02,0.02
10,0.02,0.02
,0.02,0.02
,0.02,0.02
11,0.02,0.02
10,0.02,0.02
,0.02,0.02
,0.02,0.02
,0.02,0.02
11,0.02,0.02
10,0.02,0.04
11,0.04,0.04
10,0.0,0.04
,0.0,0.0
